"Term ID";"Term Name";"Term Slug";Description;"Parent ID";"Parent Name";"Parent Slug";Count
232;"Directeur informatique - DSI";directeur-informatique-dsi;"Directeur informatique - DSI";0;;;0
233;"Responsable applicatif";responsable-applicatif;"Responsable applicatif";0;;;0
234;"Responsable infrastructure";responsable-infrastructure;"Responsable infrastructure";0;;;0
235;"Responsable fournisseurs";responsable-fournisseurs;"Responsable fournisseurs";0;;;0
236;"Autres membres de l'équipe IT";autres-membres-de-lequipe-it;"Autres membres de l'équipe IT";0;;;0
237;"Directeur digital";directeur-digital;"Directeur digital";0;;;0
238;"Responsable BI/DATA";responsable-bi-data;"Responsable BI/DATA";0;;;0
239;"Responsable produit";responsable-produit;"Responsable produit";0;;;0
240;"Directeur général";directeur-general;"Directeur général";0;;;0
241;"Responsable sécurité RSSI";responsable-securite-rssi;"Responsable sécurité RSSI";0;;;0
242;"Directeur Commercial";directeur-commercial;"Directeur Commercial";0;;;0
243;"Directeur Administratif et Financier";directeur-administratif-et-financier;"Directeur Administratif et Financier";0;;;0
244;"Directeur RH";directeur-rh;"Directeur RH";0;;;0
245;"Directeur Marketing";directeur-marketing;"Directeur Marketing";0;;;0
246;"Directeur Supply chain";directeur-supply-chain;"Directeur Supply chain";0;;;0
247;"Directeur Industrielles";directeur-industrielles;"Directeur Industrielles";0;;;0
248;"Directeur Logistique";directeur-logistique;"Directeur Logistique";0;;;0
249;"Directeur Organisation";directeur-organisation;"Directeur Organisation";0;;;0
250;"Directeur Qualité";directeur-qualite;"Directeur Qualité";0;;;0
251;"Directeur Achats";directeur-achats;"Directeur Achats";0;;;0
252;"Directeur des opérations";directeur-des-operations;"Directeur des opérations";0;;;0
253;"Directeur Technique - CTO";directeur-technique-cto;"Directeur Technique - CTO";0;;;0
254;"Secrétaire Général";secretaire-general;"Secrétaire Général";0;;;0
255;Président;president;Président;0;;;0
256;"Directeur de la communication";directeur-de-la-communication;"Directeur de la communication";0;;;0
257;"Directeur des Services Clients";directeur-des-services-clients;"Directeur des Services Clients";0;;;0
258;"Directeur Etudes et Développement";directeur-etudes-et-developpement;"Directeur Etudes et Développement";0;;;0
