"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text"
46,"Solutions analytiques / BI",solutions-analytiques-bi,"Solutions analytiques / BI",0,,,0,,,,,,,,
47,"Intelligence artificielle",intelligence-artificielle,"Intelligence artificielle",0,,,1,,,,,,,,
48,Blockchain,blockchain,Blockchain,0,,,0,,,,,,,,
49,"Solution de BPM",solution-de-bpm,"Solution de BPM",0,,,0,,,,,,,,
50,"BPO - Externalisation",bpo-externalisation,"BPO - Externalisation",0,,,1,,,,,,,,
51,"Continuité de service",continuite-de-service,"Continuité de service",0,,,0,,,,,,,,
52,Cloud,cloud,Cloud,0,,,3,,,,,,,,
53,Conformité,conformite,Conformité,0,,,0,,,,,,,,
54,"Solutions CRM / expérience client",solutions-crm-experience-client,"Solutions CRM / expérience client",0,,,1,,,,,,,,
55,Cybersécurité,cybersecurity,Cybersécurité,0,,,3,,,,,,,,
56,"Data management",data-management,"Data management",0,,,3,,,,,,,,
57,"Innovation numérique",innovation-numerique,"Innovation numérique",0,,,0,,,,,,,,
58,"Solution d'ECM / Collaboration",solution-decm-collaboration,"Solution d'ECM / Collaboration",0,,,0,,,,,,,,
59,"Ecosystème, gestion des partenariats",ecosysteme-gestion-des-partenariats,"Ecosystème, gestion des partenariats",0,,,1,,,,,,,,
60,"Solutions ERP",solutions-erp,"Solutions ERP",0,,,2,,,,,,,,
61,"Solutions de gestion finance, achats",solutions-de-gestion-finance-achats,"Solutions de gestion finance, achats",0,,,0,,,,,,,,
62,"Solutions sectorielles",solutions-sectorielles,"Solutions sectorielles",0,,,0,,,,,,,,
63,Infrastructure,infrastructure,Infrastructure,0,,,1,,,,,,,,
64,IOT,iot,IOT,0,,,2,,,,,,,,
65,"Gestion des ressources informatiques",gestion-des-ressources-informatiques,"Gestion des ressources informatiques",0,,,1,,,,,,,,
66,"Gestion des services informatiques",gestion-des-services-informatiques,"Gestion des services informatiques ",0,,,1,,,,,,,,
67,"Solutions RH et paie",solutions-rh-et-paie,"Solutions RH et paie",0,,,0,,,,,,,,
68,"Gestion de la performance",gestion-de-la-performance,"Gestion de la performance",0,,,0,,,,,,,,
69,"Gestion de projets",gestion-de-projets,"Gestion de projets",0,,,1,,,,,,,,
70,"Applications et logiciels",applications-et-logiciels,"Applications et logiciels",0,,,1,,,,,,,,
71,"Gestion des fournisseurs",gestion-des-fournisseurs,"Gestion des fournisseurs",0,,,0,,,,,,,,
72,Open-source,open-source,Open-source,0,,,1,,,,,,,,
73,"Solutions de gestion informatique",solutions-de-gestion-informatique,"Solutions de gestion informatique",0,,,0,,,,,,,,
74,Pratiques,pratiques,Pratiques,0,,,0,,,,,,,,
75,Interopérabilité,interoperabilite,Interopérabilité,0,,,0,,,,,,,,
76,Gouvernance,gouvernance,Gouvernance,0,,,0,,,,,,,,
308,"Transformation numérique",transformation-numerique,"Transformation numérique",0,,,0,,,,,,,,
